iter	Passed	Remaining
0	2	2644
1	4	2181
2	6	2078
3	10	2556
4	13	2773
5	16	2725
6	18	2629
7	20	2524
8	22	2455
9	25	2521
10	27	2484
11	32	2669
12	34	2644
13	36	2588
14	38	2534
15	41	2551
16	44	2547
17	46	2513
18	47	2473
19	49	2439
20	51	2417
21	53	2384
22	57	2437
23	59	2436
24	61	2398
25	63	2374
26	64	2341
27	66	2324
28	68	2307
29	71	2315
30	74	2320
31	76	2304
32	79	2327
33	81	2310
34	83	2289
35	84	2262
36	88	2295
37	90	2288
38	92	2267
39	93	2251
40	95	2232
41	97	2219
42	99	2203
43	102	2223
44	104	2216
45	106	2210
46	108	2199
47	110	2190
48	112	2175
49	114	2168
50	116	2164
51	118	2158
52	120	2148
53	122	2154
54	124	2143
55	127	2150
56	129	2141
57	131	2138
58	133	2136
59	136	2133
60	137	2122
61	140	2118
62	143	2126
63	147	2151
64	151	2183
65	156	2213
66	158	2207
67	160	2200
68	163	2211
69	165	2203
70	167	2194
71	169	2189
72	171	2181
73	173	2174
74	175	2163
75	178	2167
76	181	2173
77	183	2165
78	185	2157
79	188	2162
80	189	2152
81	195	2188
82	197	2182
83	199	2175
84	201	2168
85	203	2162
86	205	2154
87	208	2163
88	211	2169
89	213	2162
90	215	2156
91	217	2149
92	219	2142
93	222	2148
94	225	2145
95	227	2137
96	229	2132
97	230	2125
98	232	2117
99	234	2109
100	237	2111
101	240	2115
102	242	2109
103	243	2101
104	245	2093
105	247	2085
106	249	2080
107	251	2078
108	255	2086
109	257	2082
110	259	2081
111	261	2076
112	263	2069
113	265	2063
114	268	2069
115	270	2063
116	272	2054
117	274	2048
118	275	2042
119	277	2035
120	279	2028
121	281	2028
122	284	2030
123	286	2025
124	288	2021
125	290	2015
126	291	2006
127	293	2000
128	296	2004
129	298	1999
130	300	1994
131	302	1988
132	304	1982
133	306	1978
134	307	1972
135	310	1971
136	312	1968
137	314	1964
138	316	1959
139	318	1954
140	320	1949
141	321	1944
142	323	1939
143	326	1941
144	328	1939
145	330	1933
146	332	1928
147	333	1922
148	336	1922
149	338	1919
150	341	1921
151	344	1921
152	346	1917
153	348	1913
154	350	1910
155	352	1906
156	354	1902
157	356	1898
158	358	1895
159	359	1889
160	360	1881
161	362	1876
162	364	1870
163	365	1864
164	367	1858
165	369	1858
166	372	1856
167	373	1852
168	375	1846
169	378	1847
170	380	1843
171	381	1838
172	383	1833
173	385	1829
174	387	1825
175	389	1822
176	391	1820
177	393	1815
178	394	1810
179	396	1805
180	397	1800
181	400	1798
182	402	1794
183	403	1790
184	405	1786
185	407	1782
186	409	1779
187	410	1774
188	412	1769
189	414	1765
190	415	1761
191	417	1758
192	419	1755
193	421	1750
194	423	1746
195	424	1741
196	426	1738
197	428	1734
198	431	1736
199	433	1732
200	435	1729
201	436	1726
202	438	1722
203	440	1718
204	442	1716
205	446	1720
206	448	1719
207	450	1715
208	452	1713
209	454	1709
210	456	1706
211	460	1711
212	462	1709
213	464	1706
214	466	1703
215	468	1700
216	470	1696
217	471	1691
218	474	1693
219	477	1691
220	479	1690
221	481	1687
222	483	1683
223	484	1680
224	488	1681
225	490	1681
226	492	1677
227	494	1672
228	495	1668
229	497	1666
230	499	1661
231	500	1658
232	505	1664
233	508	1664
234	510	1661
235	512	1659
236	514	1656
237	532	1704
238	536	1708
239	538	1706
240	540	1703
241	542	1700
242	544	1697
243	550	1706
244	553	1704
245	554	1700
246	556	1698
247	559	1696
248	560	1691
249	562	1687
250	564	1685
251	566	1682
252	568	1679
253	570	1675
254	572	1671
255	573	1667
256	575	1664
257	577	1660
258	579	1658
259	582	1657
260	584	1653
261	585	1649
262	587	1646
263	589	1642
264	590	1638
265	592	1634
266	593	1630
267	595	1627
268	597	1624
269	599	1620
270	601	1617
271	602	1613
272	604	1610
273	606	1606
274	608	1603
275	610	1601
276	612	1598
277	614	1595
278	616	1593
279	618	1590
280	619	1586
281	621	1583
282	623	1579
283	626	1580
284	629	1578
285	631	1575
286	633	1573
287	635	1570
288	636	1566
289	638	1563
290	640	1561
291	644	1561
292	646	1559
293	648	1557
294	650	1554
295	652	1551
296	655	1550
297	657	1548
298	659	1545
299	661	1542
300	662	1539
301	664	1535
302	666	1532
303	667	1528
304	669	1526
305	672	1525
